"Country.Name","Country.Code","Domain.Name","Domain.Code","Series.Name","Series.Year","Fieldwork.Start","Fieldwork.End","Indicator","Series.Type","Series.Category","Data.Collection.Method","Year.From","Year.To","Interval","Reference.Date","Male.Birth","Female.Birth","Observed.SRB","SRB.Jackknife","SE.SRB.Jackknife","SE.SRB.Stochastic","logSRB.Jackknife","SE.logSRB.Jackknife","SE.logSRB.Stochastic","SE.SRB.Modeling","SE.logSRB.Modeling","Inclusion"
"India","IND","Arunachal Pradesh","AR","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1961,1984,24,1973,77.2676,70.233584,1.10015174506829,1.09794314492652,0.0581366035363787,0.185984495330244,0.0948350162220297,0.0527929795787714,0.167186413868898,0.244121098866623,0.219979393447669,TRUE
"India","IND","Arunachal Pradesh","AR","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1985,1993,9,1989.5,74.922928,68.315216,1.09672386895476,1.09539274427453,0.0544322451759067,0.186448985213314,0.0923430391461251,0.0495618753425629,0.168343094118877,0.240881230389221,0.21790496946144,TRUE
"India","IND","Assam","AS","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1958,1973,16,1966,704.03781,718.118992,0.980391575551033,0.978862357596086,0.051114066506553,0.0519802277612,-0.0200041753235114,0.0521294488370016,0.0528972244409611,0.103094294267753,0.105026673277963,FALSE
"India","IND","Assam","AS","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1974,1978,5,1976.5,717.840232,692.558583,1.03650470822336,1.03574630924818,0.050048132726503,0.0547403017388928,0.036287967144828,0.048276994055378,0.0527524298671879,0.104788434465396,0.101029423922566,TRUE
"India","IND","Assam","AS","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1979,1983,5,1981.5,1026.795571,940.400675,1.09187030411266,1.09059274193017,0.050537310957521,0.0496617094555814,0.0877931875503268,0.0462853744784197,0.0454203861974227,0.100199020413102,0.0917057606758424,TRUE
"India","IND","Assam","AS","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1984,1987,4,1986,1026.954077,912.128936,1.12588696232305,1.124619314292,0.048581953552154,0.050890554611009,0.118375216743527,0.0431165585587766,0.045160936828452,0.099472508163163,0.0882774953872286,TRUE
"India","IND","Assam","AS","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1988,1993,6,1991,1008.128126,1033.732285,0.975231344351405,0.973875267037457,0.0475934232554389,0.0431972951037072,-0.0252799609228438,0.0488113833463977,0.0442557234856212,0.0907907183591461,0.0930671068320189,TRUE
"India","IND","Bihar","BH","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1956,1961,6,1959,109.894546,110.304975,0.996279143347796,0.973660635435152,0.198127019717166,0.135583640208484,-0.00679540971290682,0.197838437097247,0.13502652341046,0.33371065992565,0.332864960507707,FALSE
"India","IND","Bihar","BH","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1962,1971,10,1967,1910.521308,1747.082614,1.09354949370471,1.09228570750801,0.0540051284932972,0.0358467909538007,0.0894945481135458,0.0494447017351887,0.0327603619905532,0.0898519194470979,0.0822050637257419,TRUE
"India","IND","Bihar","BH","Demographic and Health Survey","1992-93",1992.292,1993.708,"Sex Ratio at Birth","Direct","Standard DHS","Full Birth Histories",1972,1975,4,1974,1480.201686,1452.285697,1.01922210557996,1.0178853977736,0.0478981537810455,0.0374254860419174,0.018831245561894,0.0469564559576135,0.0367219755008138,0.0853236398229629,0.0836784314584273,TRUE
